place,classfication,general,industry,customer,usage,charge,avgsellingprice,avgusage,avgcharge
Seoul,housing,not general,not industry,"2,801,507","1,000,840,828","99,285,274,606",99.2,357.2508753,35439.95236
Sejong,streetlamp,not general,not industry,"8,854","2,669,405","297,481,970",111.4,301.4914163,33598.59611
Sejong,education,not general,not industry,135,"4,870,396","448,021,514",92,36077.00741,3318677.881
Sejong,farming,not general,not industry,"9,220","5,416,079","275,491,315",50.9,587.4272234,29879.75217
Sejong,industry,not general,industry,"1,610","142,009,778","13,060,737,983",92,88204.83106,8112259.617
Sejong,night,not general,not industry,"7,577","3,537,970","196,227,968",55.5,466.9354626,25897.84453
Sejong,general,general,not industry,"12,671","43,259,660","5,402,855,597",124.9,3414.068345,426395.3592
Sejong,housing,not general,not industry,"51,753","34,737,559","3,276,835,031",94.3,671.2182675,63316.81315
Ulsan,streetlamp,not general,not industry,"35,113","5,917,557","652,674,815",110.3,168.5289494,18587.83969
Ulsan,education,not general,not industry,428,"13,043,240","1,170,876,487",89.8,30474.85981,2735692.727
Ulsan,farming,not general,not industry,"14,268","6,292,834","332,606,948",52.9,441.0452761,23311.39249
Ulsan,industry,not general,industry,"6,464","2,535,957,900","208,311,746,128",82.1,392320.2197,32226445.87
Ulsan,night,not general,not industry,"6,835","4,560,859","253,439,987",55.6,667.2800293,37079.73475
Ulsan,general,general,not industry,"71,853","151,674,462","18,344,932,317",120.9,2110.899503,255311.9886
Ulsan,housing,not general,not industry,"329,132","117,183,430","11,588,142,566",98.9,356.0377903,35208.19175
Incheon,streetlamp,not general,not industry,"67,702","14,422,562","1,630,358,199",113,213.030073,24081.38901
Incheon,education,not general,not industry,"1,006","21,706,625","2,112,031,194",97.3,21577.16203,2099434.586
Incheon,farming,not general,not industry,"24,113","11,951,151","608,591,654",50.9,495.6310289,25239.15125
Incheon,industry,not general,industry,"19,354","1,089,451,239","106,105,602,037",97.4,56290.75328,5482360.341
Incheon,night,not general,not industry,"15,904","9,120,529","531,595,647",58.3,573.4739059,33425.27962
Incheon,general,general,not industry,"136,106","430,162,803","49,826,115,897",115.8,3160.498457,366083.1697
Incheon,housing,not general,not industry,"748,373","303,140,963","29,937,622,463",98.8,405.0666753,40003.61112
JeonNam,streetlamp,not general,not industry,"157,723","20,182,593","2,210,553,457",109.5,127.9622693,14015.416
JeonNam,education,not general,not industry,"1,331","19,315,303","1,923,662,430",99.6,14511.87303,1445276.056
JeonNam,farming,not general,not industry,"280,556","252,139,238","11,994,313,985",47.6,898.7126919,42751.94252
JeonNam,industry,not general,industry,"20,549","1,873,504,566","162,159,590,142",86.6,91172.54202,7891361.63
JeonNam,night,not general,not industry,"45,215","22,547,752","1,259,519,299",55.9,498.6785801,27856.22689
JeonNam,general,general,not industry,"147,847","268,035,991","32,257,571,018",120.3,1812.928169,218182.1141
JeonNam,housing,not general,not industry,"741,122","183,839,067","18,233,499,125",99.2,248.0550665,24602.56088
JeonBuk,streetlamp,not general,not industry,"137,119","17,864,486","1,909,147,904",106.9,130.2845412,13923.29221
JeonBuk,education,not general,not industry,"1,229","22,458,172","2,211,947,046",98.5,18273.53295,1799794.179
JeonBuk,farming,not general,not industry,"149,117","112,763,083","5,669,221,799",50.3,756.2054159,38018.61491
JeonBuk,industry,not general,industry,"15,178","1,172,753,988","102,890,030,332",87.7,77266.70101,6778892.498
JeonBuk,night,not general,not industry,"62,679","30,772,933","1,696,822,661",55.1,490.9608162,27071.62943
JeonBuk,general,general,not industry,"138,432","259,964,222","31,772,674,103",122.2,1877.920004,229518.2769
JeonBuk,housing,not general,not industry,"650,012","183,701,248","18,007,533,975",98,282.6120872,27703.38698
Jeju,streetlamp,not general,not industry,"25,990","4,666,037","500,941,015",107.4,179.5320123,19274.37534
