시도,계약구분,고객호수,사용량,전기요금,평균판매단가
전라남도,주택용,"741,122","183,839,067","18,233,499,125",99.2
전라남도,합계,"1,394,343","2,639,564,510","230,038,709,456",87.2
전라북도,가로등,"137,119","17,864,486","1,909,147,904",106.9
전라북도,교육용,"1,229","22,458,172","2,211,947,046",98.5
전라북도,농사용,"149,117","112,763,083","5,669,221,799",50.3
전라북도,산업용,"15,178","1,172,753,988","102,890,030,332",87.7
전라북도,심 야,"62,679","30,772,933","1,696,822,661",55.1
전라북도,일반용,"138,432","259,964,222","31,772,674,103",122.2
전라북도,주택용,"650,012","183,701,248","18,007,533,975",98
전라북도,합계,"1,153,766","1,800,278,132","164,157,377,820",91.2
제주특별자치도,가로등,"25,990","4,666,037","500,941,015",107.4
제주특별자치도,교육용,345,"9,512,353","922,060,161",96.9
제주특별자치도,농사용,"45,693","99,101,567","4,581,720,177",46.2
제주특별자치도,산업용,"3,444","49,224,756","5,183,629,813",105.3
제주특별자치도,심 야,"6,949","4,824,436","288,955,681",59.9
제주특별자치도,일반용,"71,086","150,463,746","17,655,727,646",117.3
제주특별자치도,주택용,"284,484","63,345,150","6,389,229,811",100.9
제주특별자치도,합계,"437,991","381,138,045","35,522,264,304",93.2
충청남도,가로등,"145,737","15,050,544","1,663,131,073",110.5
충청남도,교육용,"1,115","28,683,782","2,800,344,076",97.6
충청남도,농사용,"191,453","139,113,152","6,988,119,917",50.2
충청남도,산업용,"21,561","3,371,245,509","300,229,566,920",89.1
충청남도,심 야,"89,847","52,879,286","2,929,162,256",55.4
충청남도,일반용,"163,343","316,352,532","38,743,087,004",122.5
충청남도,주택용,"772,621","219,174,124","21,185,769,689",96.7
충청남도,합계,"1,385,677","4,142,498,929","374,539,180,935",90.4
충청북도,가로등,"99,040","15,923,439","1,727,128,237",108.5
충청북도,교육용,780,"18,444,601","1,849,731,155",100.3
충청북도,농사용,"131,624","58,859,640","3,101,716,681",52.7
충청북도,산업용,"16,809","1,506,431,332","138,466,649,991",91.9
충청북도,심 야,"88,820","46,501,338","2,551,676,952",54.9
충청북도,일반용,"119,122","235,145,346","29,021,317,843",123.4
충청북도,주택용,"604,952","165,031,355","16,132,721,416",97.8
충청북도,합계,"1,061,147","2,046,337,051","192,850,942,275",94.2
